GO:0071358	cellular response to type III interferon	cellular response to type III IFN|cellular response to interferon-lambda
GO:0071357	cellular response to type I interferon	cellular response to type I IFN
GO:0071346	cellular response to interferon-gamma	cellular response to immune interferon|cellular response to gamma-interferon|cellular response to type II IFN|cellular response to type II interferon
GO:0034341	response to interferon-gamma	response to immune interferon|response to gamma-interferon|response to type II IFN|response to type II interferon
GO:0034340	response to type I interferon	response to type I IFN
GO:0034342	response to type III interferon	response to type III IFN|response to interferon-lambda
GO:0038196	type III interferon signaling pathway	type III interferon-activated signaling pathway|interferon lambda signaling pathway
GO:0035458	cellular response to interferon-beta	cellular response to fiblaferon|cellular response to fibroblast interferon|cellular response to beta-1 interferon
GO:0035457	cellular response to interferon-alpha	cellular response to leukocyte interferon|cellular response to lymphoblast interferon|cellular response to lymphoblastoid interferon|cellular response to interferon alfa-n1|cellular response to interferon alfa-n3
GO:0035456	response to interferon-beta	response to fiblaferon|response to fibroblast interferon|response to interferon beta|response to beta-1 interferon
GO:0035455	response to interferon-alpha	response to leukocyte interferon|response to lymphoblast interferon|response to lymphoblastoid interferon|response to interferon alfa-n1|response to interferon alfa-n3
GO:0060331	negative regulation of response to interferon-gamma	negative regulation of response to immune interferon|negative regulation of response to gamma-interferon|negative regulation of response to type II IFN|negative regulation of response to type II interferon
GO:0060330	regulation of response to interferon-gamma	regulation of response to immune interferon|regulation of response to gamma-interferon|regulation of response to type II IFN|regulation of response to type II interferon
GO:0060335	positive regulation of interferon-gamma-mediated signaling pathway	positive regulation of immune interferon-mediated signaling pathway|positive regulation of interferon-gamma-mediated signalling pathway|positive regulation of gamma-interferon-mediated signaling pathway|positive regulation of type II IFN-mediated pathway|positive regulation of type II interferon-mediated signaling pathway
GO:0060334	regulation of interferon-gamma-mediated signaling pathway	regulation of immune interferon signaling pathway|regulation of interferon-gamma-mediated signalling pathway|regulation of gamma-interferon-mediated signaling pathway|regulation of type II IFN-mediated signaling pathway|regulation of type II interferon-mediated signaling pathway
GO:0060333	interferon-gamma-mediated signaling pathway	gamma-interferon-mediated signaling pathway|immune interferon signaling pathway|interferon-gamma-mediated signalling pathway|type II IFN-mediated signaling pathway|type II interferon-mediated signaling pathway
GO:0060332	positive regulation of response to interferon-gamma	positive regulation of response to immune interferon|positive regulation of response to gamma-interferon|positive regulation of response to type II IFN|positive regulation of response to type II interferon
GO:0060340	positive regulation of type I interferon-mediated signaling pathway	positive regulation of type I interferon-mediated signalling pathway
GO:0060339	negative regulation of type I interferon-mediated signaling pathway	negative regulation of type I interferon-mediated signalling pathway
GO:0060338	regulation of type I interferon-mediated signaling pathway	regulation of type I interferon-mediated signalling pathway
GO:0060337	type I interferon signaling pathway	type I interferon-activated signaling pathway|type I interferon-mediated signalling pathway|type I interferon-mediated signaling pathway
GO:0060336	negative regulation of interferon-gamma-mediated signaling pathway	negative regulation of immune interferon-mediated signaling pathway|negative regulation of interferon-gamma-mediated signalling pathway|negative regulation of gamma-interferon-mediated signaling pathway|negative regulation of type II IFN-mediated signaling pathway|negative regulation of type II interferon-mediated signaling pathway
