GO:0071358	cellular response to type III interferon	cellular response to type III IFN|cellular response to interferon-lambda
GO:0045077	negative regulation of interferon-gamma biosynthetic process	down regulation of interferon-gamma biosynthetic process|down-regulation of interferon-gamma biosynthetic process|downregulation of interferon-gamma biosynthetic process|negative regulation of interferon-gamma anabolism|negative regulation of interferon-gamma biosynthesis|negative regulation of interferon-gamma formation|negative regulation of interferon-gamma synthesis|inhibition of interferon-gamma biosynthetic process
GO:0045078	positive regulation of interferon-gamma biosynthetic process	positive regulation of interferon-gamma anabolism|positive regulation of interferon-gamma biosynthesis|positive regulation of interferon-gamma formation|positive regulation of interferon-gamma synthesis|up regulation of interferon-gamma biosynthetic process|up-regulation of interferon-gamma biosynthetic process|upregulation of interferon-gamma biosynthetic process|activation of interferon-gamma biosynthetic process|stimulation of interferon-gamma biosynthetic process
GO:0045072	regulation of interferon-gamma biosynthetic process	regulation of interferon-gamma anabolism|regulation of interferon-gamma biosynthesis|regulation of interferon-gamma formation|regulation of interferon-gamma synthesis
GO:0045358	negative regulation of interferon-beta biosynthetic process	down regulation of interferon-beta biosynthetic process|down-regulation of interferon-beta biosynthetic process|downregulation of interferon-beta biosynthetic process|negative regulation of interferon-beta anabolism|negative regulation of interferon-beta biosynthesis|negative regulation of interferon-beta formation|negative regulation of interferon-beta synthesis|inhibition of interferon-beta biosynthetic process
GO:0045357	regulation of interferon-beta biosynthetic process	regulation of interferon-beta anabolism|regulation of interferon-beta biosynthesis|regulation of interferon-beta formation|regulation of interferon-beta synthesis
GO:0045359	positive regulation of interferon-beta biosynthetic process	positive regulation of interferon-beta anabolism|positive regulation of interferon-beta biosynthesis|positive regulation of interferon-beta formation|positive regulation of interferon-beta synthesis|up regulation of interferon-beta biosynthetic process|up-regulation of interferon-beta biosynthetic process|upregulation of interferon-beta biosynthetic process|activation of interferon-beta biosynthetic process|stimulation of interferon-beta biosynthetic process
GO:0045350	interferon-beta biosynthetic process	IFN-beta biosynthesis|IFN-beta biosynthetic process|IFNB biosynthetic process|interferon-beta anabolism|interferon-beta biosynthesis|interferon-beta formation|interferon-beta synthesis
GO:0045351	type I interferon biosynthetic process	interferon type I biosynthetic process|type I interferon anabolism|type I interferon biosynthesis|type I interferon formation|type I interferon synthesis
GO:0045354	regulation of interferon-alpha biosynthetic process	regulation of interferon-alpha anabolism|regulation of interferon-alpha biosynthesis|regulation of interferon-alpha formation|regulation of interferon-alpha synthesis
GO:0045356	positive regulation of interferon-alpha biosynthetic process	positive regulation of interferon-alpha anabolism|positive regulation of interferon-alpha biosynthesis|positive regulation of interferon-alpha formation|positive regulation of interferon-alpha synthesis|up regulation of interferon-alpha biosynthetic process|up-regulation of interferon-alpha biosynthetic process|upregulation of interferon-alpha biosynthetic process|activation of interferon-alpha biosynthetic process|stimulation of interferon-alpha biosynthetic process
